function,optimizer,lr,saddle_id,saddle_x,saddle_y,lambda_min,r_escape,r_diverge,SEE_basic,SEE_basic_CI_lo,SEE_basic_CI_hi,SEE_quality,SEE_quality_CI_lo,SEE_quality_CI_hi,P_escape,P_quality,diverge_rate,stuck_rate,tau_escape_mean,tau_quality_mean,wilcoxon_p_vs_best,cohens_d_vs_best
Himmelblau,GD_fixed,0.01,0,-0.12796134673068002,-1.9537149802445994,-50.610239320365864,0.07028308312879633,8.48528137423857,0.3048780487804878,0.24981796116504854,0.39698540706605223,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.28,,1.0,0.9278462723283628
Himmelblau,GD_fixed,0.1,0,-0.12796134673068002,-1.9537149802445994,-50.610239320365864,0.07028308312879633,8.48528137423857,0.5494505494505494,0.4854368932038835,0.625,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.82,,1.0,0.9278462723283628
Himmelblau,Adam,0.01,0,-0.12796134673068002,-1.9537149802445994,-50.610239320365864,0.07028308312879633,8.48528137423857,0.2631578947368421,0.2240446480795477,0.3290018299058906,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.8,,1.0,0.6352723202587333
Himmelblau,Adam,0.1,0,-0.12796134673068002,-1.9537149802445994,-50.610239320365864,0.07028308312879633,8.48528137423857,0.6329113924050632,0.5813953488372093,0.6851693302891934,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.58,,1.0,0.6352723202587333
Himmelblau,AdamW,0.01,0,-0.12796134673068002,-1.9537149802445994,-50.610239320365864,0.07028308312879633,8.48528137423857,0.2631578947368421,0.2240446480795477,0.3290018299058906,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.8,,1.0,0.6427553737175448
Himmelblau,AdamW,0.1,0,-0.12796134673068002,-1.9537149802445994,-50.610239320365864,0.07028308312879633,8.48528137423857,0.6329113924050632,0.5813953488372093,0.6851693302891934,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.58,,1.0,0.6427553737175448
Himmelblau,RMSProp,0.01,0,-0.12796134673068002,-1.9537149802445994,-50.610239320365864,0.07028308312879633,8.48528137423857,0.6329113924050632,0.5813953488372093,0.6851693302891934,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.58,,,0.0
Himmelblau,RMSProp,0.1,0,-0.12796134673068002,-1.9537149802445994,-50.610239320365864,0.07028308312879633,8.48528137423857,0.6329113924050632,0.5813953488372093,0.6851693302891934,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.58,,,0.0
Himmelblau,AdaGrad,0.01,0,-0.12796134673068002,-1.9537149802445994,-50.610239320365864,0.07028308312879633,8.48528137423857,0.2222222222222222,0.18575575130650288,0.27932960893854747,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5,,1.0,0.6263264681420684
Himmelblau,AdaGrad,0.1,0,-0.12796134673068002,-1.9537149802445994,-50.610239320365864,0.07028308312879633,8.48528137423857,0.6329113924050632,0.5813953488372093,0.6851693302891934,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.58,,1.0,0.6263264681420684
Himmelblau,SGD_momentum,0.01,0,-0.12796134673068002,-1.9537149802445994,-50.610239320365864,0.07028308312879633,8.48528137423857,0.35714285714285715,0.29757502113271345,0.44642857142857145,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.8,,1.0,1.0338275293798702
Himmelblau,SGD_momentum,0.1,0,-0.12796134673068002,-1.9537149802445994,-50.610239320365864,0.07028308312879633,8.48528137423857,0.5555555555555556,0.494928169287517,0.6329113924050633,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.8,,1.0,1.0338275293798702
Himmelblau,GD_fixed,0.01,1,3.385154183628265,0.07385187987901881,-14.135178485327303,0.13299010858592494,8.48528137423857,0.08445945945945946,0.0762050985203498,0.09454050563500195,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.84,,1.0,0.9278462723283628
Himmelblau,GD_fixed,0.1,1,3.385154183628265,0.07385187987901881,-14.135178485327303,0.13299010858592494,8.48528137423857,0.45454545454545453,0.43478260869565216,0.47619047619047616,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.2,,1.0,0.9278462723283628
Himmelblau,Adam,0.01,1,3.385154183628265,0.07385187987901881,-14.135178485327303,0.13299010858592494,8.48528137423857,0.08103727714748785,0.0734187476584805,0.08928970738563762,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.34,,1.0,0.6352723202587333
Himmelblau,Adam,0.1,1,3.385154183628265,0.07385187987901881,-14.135178485327303,0.13299010858592494,8.48528137423857,0.4065040650406504,0.37037037037037035,0.43859649122807015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.46,,1.0,0.6352723202587333
Himmelblau,AdamW,0.01,1,3.385154183628265,0.07385187987901881,-14.135178485327303,0.13299010858592494,8.48528137423857,0.08130081300813008,0.07374089016137428,0.08944543828264759,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.3,,1.0,0.6427553737175448
Himmelblau,AdamW,0.1,1,3.385154183628265,0.07385187987901881,-14.135178485327303,0.13299010858592494,8.48528137423857,0.4065040650406504,0.37037037037037035,0.43859649122807015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.46,,1.0,0.6427553737175448
Himmelblau,RMSProp,0.01,1,3.385154183628265,0.07385187987901881,-14.135178485327303,0.13299010858592494,8.48528137423857,0.38167938931297707,0.3401360544217687,0.4167542016806723,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.62,,,0.0
Himmelblau,RMSProp,0.1,1,3.385154183628265,0.07385187987901881,-14.135178485327303,0.13299010858592494,8.48528137423857,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,,,0.0
Himmelblau,AdaGrad,0.01,1,3.385154183628265,0.07385187987901881,-14.135178485327303,0.13299010858592494,8.48528137423857,0.034411562284927734,0.029186434354287253,0.03990662410215483,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.06,,1.0,0.6263264681420684
Himmelblau,AdaGrad,0.1,1,3.385154183628265,0.07385187987901881,-14.135178485327303,0.13299010858592494,8.48528137423857,0.38167938931297707,0.3401360544217687,0.4167542016806723,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.62,,1.0,0.6263264681420684
Himmelblau,SGD_momentum,0.01,1,3.385154183628265,0.07385187987901881,-14.135178485327303,0.13299010858592494,8.48528137423857,0.15015015015015015,0.13773158659522297,0.16339869281045752,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.66,,1.0,1.0338275293798702
Himmelblau,SGD_momentum,0.1,1,3.385154183628265,0.07385187987901881,-14.135178485327303,0.13299010858592494,8.48528137423857,0.45454545454545453,0.43478260869565216,0.47619047619047616,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.2,,1.0,1.0338275293798702
Himmelblau,GD_fixed,0.01,2,0.08667750455614405,2.8842547011743975,-31.706622362774915,0.0887963281471122,8.48528137423857,0.17793594306049823,0.14965630868440633,0.22522522522522523,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.62,,1.0,0.9278462723283628
Himmelblau,GD_fixed,0.1,2,0.08667750455614405,2.8842547011743975,-31.706622362774915,0.0887963281471122,8.48528137423857,0.5555555555555556,0.5208333333333334,0.6024096385542169,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.8,,1.0,0.9278462723283628
Himmelblau,Adam,0.01,2,0.08667750455614405,2.8842547011743975,-31.706622362774915,0.0887963281471122,8.48528137423857,0.16501650165016502,0.14532783304207555,0.19851310969732022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.06,,1.0,0.6352723202587333
Himmelblau,Adam,0.1,2,0.08667750455614405,2.8842547011743975,-31.706622362774915,0.0887963281471122,8.48528137423857,0.5555555555555556,0.5208333333333334,0.6024096385542169,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8,,1.0,0.6352723202587333
Himmelblau,AdamW,0.01,2,0.08667750455614405,2.8842547011743975,-31.706622362774915,0.0887963281471122,8.48528137423857,0.16556291390728478,0.1457725947521866,0.1992838363146604,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.04,,1.0,0.6427553737175448
Himmelblau,AdamW,0.1,2,0.08667750455614405,2.8842547011743975,-31.706622362774915,0.0887963281471122,8.48528137423857,0.5555555555555556,0.5208333333333334,0.6024096385542169,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8,,1.0,0.6427553737175448
Himmelblau,RMSProp,0.01,2,0.08667750455614405,2.8842547011743975,-31.706622362774915,0.0887963281471122,8.48528137423857,0.5555555555555556,0.5208333333333334,0.6024096385542169,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8,,,0.0
Himmelblau,RMSProp,0.1,2,0.08667750455614405,2.8842547011743975,-31.706622362774915,0.0887963281471122,8.48528137423857,0.5617977528089888,0.5263157894736842,0.6025933000293859,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.78,,,0.0
Himmelblau,AdaGrad,0.01,2,0.08667750455614405,2.8842547011743975,-31.706622362774915,0.0887963281471122,8.48528137423857,0.11086474501108648,0.09630255234668919,0.13852344539695524,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.02,,1.0,0.6263264681420684
Himmelblau,AdaGrad,0.1,2,0.08667750455614405,2.8842547011743975,-31.706622362774915,0.0887963281471122,8.48528137423857,0.5555555555555556,0.5208333333333334,0.6024096385542169,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8,,1.0,0.6263264681420684
Himmelblau,SGD_momentum,0.01,2,0.08667750455614405,2.8842547011743975,-31.706622362774915,0.0887963281471122,8.48528137423857,0.24752475247524752,0.21551724137931033,0.29944628814659835,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.04,,1.0,1.0338275293798702
Himmelblau,SGD_momentum,0.1,2,0.08667750455614405,2.8842547011743975,-31.706622362774915,0.0887963281471122,8.48528137423857,0.5555555555555556,0.5208333333333334,0.6024096385542169,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.8,,1.0,1.0338275293798702
SixHumpCamel,GD_fixed,0.01,0,-1.6380679841905499,-0.22867406921908912,-5.545775013423169,0.2123189910947152,3.605551275463989,0.026595744680851064,0.023439518841368755,0.029911985573656746,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.6,,1.0,0.9278462723283628
SixHumpCamel,GD_fixed,0.1,0,-1.6380679841905499,-0.22867406921908912,-5.545775013423169,0.2123189910947152,3.605551275463989,0.17301038062283736,0.15970649492457636,0.18802352840275594,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.78,,1.0,0.9278462723283628
SixHumpCamel,Adam,0.01,0,-1.6380679841905499,-0.22867406921908912,-5.545775013423169,0.2123189910947152,3.605551275463989,0.056179775280898875,0.054168252759802055,0.05854972531168407,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.8,,1.0,0.6352723202587333
SixHumpCamel,Adam,0.1,0,-1.6380679841905499,-0.22867406921908912,-5.545775013423169,0.2123189910947152,3.605551275463989,0.31446540880503143,0.30120481927710846,0.32679738562091504,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.18,,1.0,0.6352723202587333
SixHumpCamel,AdamW,0.01,0,-1.6380679841905499,-0.22867406921908912,-5.545775013423169,0.2123189910947152,3.605551275463989,0.056179775280898875,0.054168252759802055,0.05854972531168407,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.8,,1.0,0.6427553737175448
SixHumpCamel,AdamW,0.1,0,-1.6380679841905499,-0.22867406921908912,-5.545775013423169,0.2123189910947152,3.605551275463989,0.3125,0.2994011976047904,0.3246753246753247,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.2,,1.0,0.6427553737175448
SixHumpCamel,RMSProp,0.01,0,-1.6380679841905499,-0.22867406921908912,-5.545775013423169,0.2123189910947152,3.605551275463989,0.32679738562091504,0.31446540880503143,0.33783783783783783,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.06,,,0.0
SixHumpCamel,RMSProp,0.1,0,-1.6380679841905499,-0.22867406921908912,-5.545775013423169,0.2123189910947152,3.605551275463989,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,,,0.0
SixHumpCamel,AdaGrad,0.01,0,-1.6380679841905499,-0.22867406921908912,-5.545775013423169,0.2123189910947152,3.605551275463989,0.017692852087756547,0.01675491211595533,0.018747656542932135,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.52,,1.0,0.6263264681420684
SixHumpCamel,AdaGrad,0.1,0,-1.6380679841905499,-0.22867406921908912,-5.545775013423169,0.2123189910947152,3.605551275463989,0.32679738562091504,0.31446540880503143,0.33783783783783783,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.06,,1.0,0.6263264681420684
SixHumpCamel,SGD_momentum,0.01,0,-1.6380679841905499,-0.22867406921908912,-5.545775013423169,0.2123189910947152,3.605551275463989,0.07621951219512195,0.07022225680381991,0.08279525386313467,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.12,,1.0,1.0338275293798702
SixHumpCamel,SGD_momentum,0.1,0,-1.6380679841905499,-0.22867406921908912,-5.545775013423169,0.2123189910947152,3.605551275463989,0.2183406113537118,0.20323146045225635,0.23696682464454977,0.0,0.0,0.0,1.0,0.0,0.52,0.0,4.58,,1.0,1.0338275293798702
SixHumpCamel,GD_fixed,0.01,1,1.6380679841897314,0.22867406904376153,-5.5457750172603815,0.2123189910212617,3.605551275463989,0.025354969574036514,0.02291214365043789,0.027980246160054793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.44,,1.0,0.9278462723283628
SixHumpCamel,GD_fixed,0.1,1,1.6380679841897314,0.22867406904376153,-5.5457750172603815,0.2123189910212617,3.605551275463989,0.16891891891891891,0.15625,0.18050541516245489,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.92,,1.0,0.9278462723283628
SixHumpCamel,Adam,0.01,1,1.6380679841897314,0.22867406904376153,-5.5457750172603815,0.2123189910212617,3.605551275463989,0.05611672278338945,0.054052594711342015,0.05841292288353282,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.82,,1.0,0.6352723202587333
SixHumpCamel,Adam,0.1,1,1.6380679841897314,0.22867406904376153,-5.5457750172603815,0.2123189910212617,3.605551275463989,0.31446540880503143,0.30120481927710846,0.32685113519091846,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.18,,1.0,0.6352723202587333
SixHumpCamel,AdamW,0.01,1,1.6380679841897314,0.22867406904376153,-5.5457750172603815,0.2123189910212617,3.605551275463989,0.05611672278338945,0.054052594711342015,0.05841292288353282,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.82,,1.0,0.6427553737175448
SixHumpCamel,AdamW,0.1,1,1.6380679841897314,0.22867406904376153,-5.5457750172603815,0.2123189910212617,3.605551275463989,0.31446540880503143,0.30120481927710846,0.32685113519091846,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.18,,1.0,0.6427553737175448
SixHumpCamel,RMSProp,0.01,1,1.6380679841897314,0.22867406904376153,-5.5457750172603815,0.2123189910212617,3.605551275463989,0.32679738562091504,0.31446540880503143,0.33783783783783783,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.06,,,0.0
SixHumpCamel,RMSProp,0.1,1,1.6380679841897314,0.22867406904376153,-5.5457750172603815,0.2123189910212617,3.605551275463989,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,,,0.0
SixHumpCamel,AdaGrad,0.01,1,1.6380679841897314,0.22867406904376153,-5.5457750172603815,0.2123189910212617,3.605551275463989,0.01723543605653223,0.01622849724115547,0.018171427926108586,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.02,,1.0,0.6263264681420684
SixHumpCamel,AdaGrad,0.1,1,1.6380679841897314,0.22867406904376153,-5.5457750172603815,0.2123189910212617,3.605551275463989,0.32679738562091504,0.31446540880503143,0.33783783783783783,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.06,,1.0,0.6263264681420684
SixHumpCamel,SGD_momentum,0.01,1,1.6380679841897314,0.22867406904376153,-5.5457750172603815,0.2123189910212617,3.605551275463989,0.07485029940119761,0.06915390522913276,0.08038908823544641,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.36,,1.0,1.0338275293798702
SixHumpCamel,SGD_momentum,0.1,1,1.6380679841897314,0.22867406904376153,-5.5457750172603815,0.2123189910212617,3.605551275463989,0.21645021645021645,0.2032520325203252,0.23148148148148148,0.0,0.0,0.0,1.0,0.0,0.4,0.0,4.62,,1.0,1.0338275293798702
SixHumpCamel,GD_fixed,0.01,2,0.0,0.0,-8.06225774829855,0.17609281587034933,3.605551275463989,0.04351610095735422,0.038998527281682245,0.048497782339702235,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.98,,1.0,0.9278462723283628
SixHumpCamel,GD_fixed,0.1,2,0.0,0.0,-8.06225774829855,0.17609281587034933,3.605551275463989,0.2347417840375587,0.2164268920734438,0.25513474620617477,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.26,,1.0,0.9278462723283628
SixHumpCamel,Adam,0.01,2,0.0,0.0,-8.06225774829855,0.17609281587034933,3.605551275463989,0.06954102920723226,0.06639886079026071,0.07289162532180793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.38,,1.0,0.6352723202587333
SixHumpCamel,Adam,0.1,2,0.0,0.0,-8.06225774829855,0.17609281587034933,3.605551275463989,0.3597122302158274,0.34716235632183906,0.37601105035315563,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.78,,1.0,0.6352723202587333
SixHumpCamel,AdamW,0.01,2,0.0,0.0,-8.06225774829855,0.17609281587034933,3.605551275463989,0.06925207756232687,0.0663042489309435,0.07257687441553441,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.44,,1.0,0.6427553737175448
SixHumpCamel,AdamW,0.1,2,0.0,0.0,-8.06225774829855,0.17609281587034933,3.605551275463989,0.3597122302158274,0.34716235632183906,0.37601105035315563,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.78,,1.0,0.6427553737175448
SixHumpCamel,RMSProp,0.01,2,0.0,0.0,-8.06225774829855,0.17609281587034933,3.605551275463989,0.3597122302158274,0.34716235632183906,0.37601105035315563,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.78,,,0.0
