function,spearman_r,p_value,section,c,optimizer,mean_SEE_basic,rank
Himmelblau,,,4A,,,,
SixHumpCamel,,,4A,,,,
Rastrigin,,,4A,,,,
Styblinski_Tang,,,4A,,,,
Levy,,,4A,,,,
Beale,,,4A,,,,
Himmelblau,,,4B,0.25,RMSProp,0.544142580414608,1.0
Himmelblau,,,4B,0.25,SGD_momentum,0.3867457209041367,2.0
Himmelblau,,,4B,0.25,GD_fixed,0.3544708351420008,3.0
Himmelblau,,,4B,0.25,AdamW,0.3508321057755877,4.0
Himmelblau,,,4B,0.25,Adam,0.35069711442262735,5.0
Himmelblau,,,4B,0.25,AdaGrad,0.32294081113197204,6.0
Himmelblau,,,4B,0.5,RMSProp,0.544142580414608,1.0
Himmelblau,,,4B,0.5,SGD_momentum,0.3867457209041367,2.0
Himmelblau,,,4B,0.5,GD_fixed,0.3544708351420008,3.0
Himmelblau,,,4B,0.5,AdamW,0.3508321057755877,4.0
Himmelblau,,,4B,0.5,Adam,0.35069711442262735,5.0
Himmelblau,,,4B,0.5,AdaGrad,0.32294081113197204,6.0
Himmelblau,,,4B,1.0,RMSProp,0.544142580414608,1.0
Himmelblau,,,4B,1.0,SGD_momentum,0.3867457209041367,2.0
Himmelblau,,,4B,1.0,GD_fixed,0.3544708351420008,3.0
Himmelblau,,,4B,1.0,AdamW,0.3508321057755877,4.0
Himmelblau,,,4B,1.0,Adam,0.35069711442262735,5.0
Himmelblau,,,4B,1.0,AdaGrad,0.32294081113197204,6.0
Himmelblau,,,4B,2.0,RMSProp,0.544142580414608,1.0
Himmelblau,,,4B,2.0,SGD_momentum,0.3867457209041367,2.0
Himmelblau,,,4B,2.0,GD_fixed,0.3544708351420008,3.0
Himmelblau,,,4B,2.0,AdamW,0.3508321057755877,4.0
Himmelblau,,,4B,2.0,Adam,0.35069711442262735,5.0
Himmelblau,,,4B,2.0,AdaGrad,0.32294081113197204,6.0
SixHumpCamel,,,4B,0.25,RMSProp,0.4188845002429429,1.0
SixHumpCamel,,,4B,0.25,Adam,0.19508009584956845,2.0
SixHumpCamel,,,4B,0.25,AdamW,0.19470436910791233,3.0
SixHumpCamel,,,4B,0.25,AdaGrad,0.17928967331282897,4.0
SixHumpCamel,,,4B,0.25,SGD_momentum,0.1581084741870651,5.0
SixHumpCamel,,,4B,0.25,GD_fixed,0.11202298313192612,6.0
SixHumpCamel,,,4B,0.5,RMSProp,0.4188845002429429,1.0
SixHumpCamel,,,4B,0.5,Adam,0.19508009584956845,2.0
SixHumpCamel,,,4B,0.5,AdamW,0.19470436910791233,3.0
SixHumpCamel,,,4B,0.5,AdaGrad,0.17928967331282897,4.0
SixHumpCamel,,,4B,0.5,SGD_momentum,0.1581084741870651,5.0
SixHumpCamel,,,4B,0.5,GD_fixed,0.11202298313192612,6.0
SixHumpCamel,,,4B,1.0,RMSProp,0.4188845002429429,1.0
SixHumpCamel,,,4B,1.0,Adam,0.19508009584956845,2.0
SixHumpCamel,,,4B,1.0,AdamW,0.19470436910791233,3.0
SixHumpCamel,,,4B,1.0,AdaGrad,0.17928967331282897,4.0
SixHumpCamel,,,4B,1.0,SGD_momentum,0.1581084741870651,5.0
SixHumpCamel,,,4B,1.0,GD_fixed,0.11202298313192612,6.0
SixHumpCamel,,,4B,2.0,RMSProp,0.4188845002429429,1.0
SixHumpCamel,,,4B,2.0,Adam,0.19508009584956845,2.0
SixHumpCamel,,,4B,2.0,AdamW,0.19470436910791233,3.0
SixHumpCamel,,,4B,2.0,AdaGrad,0.17928967331282897,4.0
SixHumpCamel,,,4B,2.0,SGD_momentum,0.1581084741870651,5.0
SixHumpCamel,,,4B,2.0,GD_fixed,0.11202298313192612,6.0
Rastrigin,,,4B,0.25,GD_fixed,0.8928571428571427,1.0
Rastrigin,,,4B,0.25,RMSProp,0.8928571428571427,2.0
Rastrigin,,,4B,0.25,SGD_momentum,0.8928571428571427,3.0
Rastrigin,,,4B,0.25,Adam,0.8480881759483454,4.0
Rastrigin,,,4B,0.25,AdamW,0.8480881759483454,5.0
Rastrigin,,,4B,0.25,AdaGrad,0.8480881759483454,6.0
Rastrigin,,,4B,0.5,GD_fixed,0.8928571428571427,1.0
Rastrigin,,,4B,0.5,RMSProp,0.8928571428571427,2.0
Rastrigin,,,4B,0.5,SGD_momentum,0.8928571428571427,3.0
Rastrigin,,,4B,0.5,Adam,0.8480881759483454,4.0
Rastrigin,,,4B,0.5,AdamW,0.8480881759483454,5.0
Rastrigin,,,4B,0.5,AdaGrad,0.8480881759483454,6.0
Rastrigin,,,4B,1.0,GD_fixed,0.8928571428571427,1.0
Rastrigin,,,4B,1.0,RMSProp,0.8928571428571427,2.0
Rastrigin,,,4B,1.0,SGD_momentum,0.8928571428571427,3.0
Rastrigin,,,4B,1.0,Adam,0.8480881759483454,4.0
Rastrigin,,,4B,1.0,AdamW,0.8480881759483454,5.0
Rastrigin,,,4B,1.0,AdaGrad,0.8480881759483454,6.0
Rastrigin,,,4B,2.0,GD_fixed,0.8928571428571427,1.0
Rastrigin,,,4B,2.0,RMSProp,0.8928571428571427,2.0
Rastrigin,,,4B,2.0,SGD_momentum,0.8928571428571427,3.0
Rastrigin,,,4B,2.0,Adam,0.8480881759483454,4.0
Rastrigin,,,4B,2.0,AdamW,0.8480881759483454,5.0
Rastrigin,,,4B,2.0,AdaGrad,0.8480881759483454,6.0
Styblinski_Tang,,,4B,0.25,RMSProp,0.48813885326982964,1.0
Styblinski_Tang,,,4B,0.25,Adam,0.2882005303428042,2.0
Styblinski_Tang,,,4B,0.25,AdamW,0.2874659252125339,3.0
Styblinski_Tang,,,4B,0.25,AdaGrad,0.2654720729262004,4.0
Styblinski_Tang,,,4B,0.25,SGD_momentum,0.2636347393768552,5.0
Styblinski_Tang,,,4B,0.25,GD_fixed,0.24194270686418104,6.0
Styblinski_Tang,,,4B,0.5,RMSProp,0.48813885326982964,1.0
Styblinski_Tang,,,4B,0.5,Adam,0.2882005303428042,2.0
Styblinski_Tang,,,4B,0.5,AdamW,0.2874659252125339,3.0
Styblinski_Tang,,,4B,0.5,AdaGrad,0.2654720729262004,4.0
Styblinski_Tang,,,4B,0.5,SGD_momentum,0.2636347393768552,5.0
Styblinski_Tang,,,4B,0.5,GD_fixed,0.24194270686418104,6.0
Styblinski_Tang,,,4B,1.0,RMSProp,0.48813885326982964,1.0
Styblinski_Tang,,,4B,1.0,Adam,0.2882005303428042,2.0
Styblinski_Tang,,,4B,1.0,AdamW,0.2874659252125339,3.0
Styblinski_Tang,,,4B,1.0,AdaGrad,0.2654720729262004,4.0
Styblinski_Tang,,,4B,1.0,SGD_momentum,0.2636347393768552,5.0
Styblinski_Tang,,,4B,1.0,GD_fixed,0.24194270686418104,6.0
Styblinski_Tang,,,4B,2.0,RMSProp,0.48813885326982964,1.0
Styblinski_Tang,,,4B,2.0,Adam,0.2882005303428042,2.0
Styblinski_Tang,,,4B,2.0,AdamW,0.2874659252125339,3.0
Styblinski_Tang,,,4B,2.0,AdaGrad,0.2654720729262004,4.0
Styblinski_Tang,,,4B,2.0,SGD_momentum,0.2636347393768552,5.0
Styblinski_Tang,,,4B,2.0,GD_fixed,0.24194270686418104,6.0
Levy,,,4B,0.25,RMSProp,0.5650679641643497,1.0
Levy,,,4B,0.25,SGD_momentum,0.37166365481814306,2.0
Levy,,,4B,0.25,Adam,0.37142935977205677,3.0
Levy,,,4B,0.25,AdamW,0.3698753719995065,4.0
Levy,,,4B,0.25,AdaGrad,0.3480515633550989,5.0
Levy,,,4B,0.25,GD_fixed,0.3405108232339849,6.0
Levy,,,4B,0.5,RMSProp,0.5650679641643497,1.0
Levy,,,4B,0.5,SGD_momentum,0.37166365481814306,2.0
Levy,,,4B,0.5,Adam,0.37142935977205677,3.0
Levy,,,4B,0.5,AdamW,0.3698753719995065,4.0
Levy,,,4B,0.5,AdaGrad,0.3480515633550989,5.0
Levy,,,4B,0.5,GD_fixed,0.3405108232339849,6.0
Levy,,,4B,1.0,RMSProp,0.5650679641643497,1.0
Levy,,,4B,1.0,SGD_momentum,0.37166365481814306,2.0
Levy,,,4B,1.0,Adam,0.37142935977205677,3.0
Levy,,,4B,1.0,AdamW,0.3698753719995065,4.0
Levy,,,4B,1.0,AdaGrad,0.3480515633550989,5.0
Levy,,,4B,1.0,GD_fixed,0.3405108232339849,6.0
Levy,,,4B,2.0,RMSProp,0.5650679641643497,1.0
Levy,,,4B,2.0,SGD_momentum,0.37166365481814306,2.0
Levy,,,4B,2.0,Adam,0.37142935977205677,3.0
Levy,,,4B,2.0,AdamW,0.3698753719995065,4.0
Levy,,,4B,2.0,AdaGrad,0.3480515633550989,5.0
Levy,,,4B,2.0,GD_fixed,0.3405108232339849,6.0
Beale,,,4B,0.25,SGD_momentum,0.36853520394123207,1.0
Beale,,,4B,0.25,GD_fixed,0.3546154797797368,2.0
Beale,,,4B,0.25,RMSProp,0.35047086113199366,3.0
Beale,,,4B,0.25,AdamW,0.14316732580649255,4.0
Beale,,,4B,0.25,Adam,0.14194593439906356,5.0
Beale,,,4B,0.25,AdaGrad,0.11456703790037123,6.0
Beale,,,4B,0.5,SGD_momentum,0.36853520394123207,1.0
Beale,,,4B,0.5,GD_fixed,0.3546154797797368,2.0
Beale,,,4B,0.5,RMSProp,0.35047086113199366,3.0
Beale,,,4B,0.5,AdamW,0.14316732580649255,4.0
Beale,,,4B,0.5,Adam,0.14194593439906356,5.0
Beale,,,4B,0.5,AdaGrad,0.11456703790037123,6.0
Beale,,,4B,1.0,SGD_momentum,0.36853520394123207,1.0
Beale,,,4B,1.0,GD_fixed,0.3546154797797368,2.0
Beale,,,4B,1.0,RMSProp,0.35047086113199366,3.0
Beale,,,4B,1.0,AdamW,0.14316732580649255,4.0
Beale,,,4B,1.0,Adam,0.14194593439906356,5.0
Beale,,,4B,1.0,AdaGrad,0.11456703790037123,6.0
Beale,,,4B,2.0,SGD_momentum,0.36853520394123207,1.0
Beale,,,4B,2.0,GD_fixed,0.3546154797797368,2.0
Beale,,,4B,2.0,RMSProp,0.35047086113199366,3.0
Beale,,,4B,2.0,AdamW,0.14316732580649255,4.0
Beale,,,4B,2.0,Adam,0.14194593439906356,5.0
Beale,,,4B,2.0,AdaGrad,0.11456703790037123,6.0
